Tarih,Kategori,Açıklama,Tutar (TL)
2025-02-01,Market,BIM alışverişi,180
2025-02-03,Fatura,Elektrik,310
2025-02-04,Ulaşım,Toplu taşıma kart yükleme,90
2025-02-06,Fatura,Doğalgaz,460
2025-02-08,Market,A101 alışverişi,170
2025-02-10,Kafe,Evde kahve alışverişi,30
2025-02-12,Fatura,İnternet,150
2025-02-14,Ev/Hobi,2. el kitap alımı,60
2025-02-16,Abonelik,Spotify,39
2025-02-18,Sağlık,Eczane masrafı,160
2025-02-22,Market,BIM,195
2025-02-24,Giyim,Pazar alışverişi,220
2025-02-27,Çocuk / Oyuncak,Oyuncakçıdan küçük set,90
2025-02-28,Fatura,Su faturası,100

2025-03-01,Market,A101 alışverişi,200
2025-03-02,Fatura,Elektrik,330
2025-03-03,Ulaşım,Toplu taşıma,95
2025-03-05,Fatura,Doğalgaz,440
2025-03-07,Abonelik,Spotify,39
2025-03-10,Kafe,Büfeden çay-simit,25
2025-03-12,Çocuk / Oyuncak,Küçük puzzle,60
2025-03-14,Market,BIM alışverişi,190
2025-03-16,Fatura,İnternet,150
2025-03-18,Ev/Hobi,Kalem & defter,35
2025-03-21,Sağlık,Eczane alışverişi,120
2025-03-24,Giyim,LCW tişört,150
2025-03-27,Market,A101 alışverişi,210
2025-03-30,Fatura,Su faturası,110

2025-04-01,Market,BIM alışverişi,205
2025-04-02,Fatura,Elektrik,340
2025-04-03,Ulaşım,Toplu taşıma kart yükleme,90
2025-04-05,Fatura,Doğalgaz,455
2025-04-08,Ev/Hobi,E-kitap alımı,45
2025-04-10,Kafe,Evde filtre kahve,20
2025-04-12,Market,A101 alışverişi,190
2025-04-14,Abonelik,Spotify,39
2025-04-16,Sağlık,Eczane,100
2025-04-19,Fatura,İnternet,150
2025-04-21,Giyim,2. el mont alımı,200
2025-04-23,Market,BIM alışverişi,195
2025-04-26,Çocuk / Oyuncak,Oyuncak bebek,85
2025-04-29,Fatura,Su faturası,115
