Tarih,Kategori,Açıklama,Tutar (TL)
2025-02-01,Market,Migros alışverişi,350
2025-02-02,Abonelik,Netflix,99
2025-02-04,Ulaşım,Benzin,720
2025-02-05,Fatura,Elektrik,480
2025-02-06,Çocuk / Oyuncak,Toyzz Shop lego seti,280
2025-02-07,Kafe,Starbucks kahve,65
2025-02-09,Giyim,Zara mont,890
2025-02-11,Fatura,Doğalgaz,620
2025-02-13,Market,Şok market,190
2025-02-15,Abonelik,Spotify,39
2025-02-18,Kafe,Mado,110
2025-02-20,Ev/Hobi,Kitap alışverişi,160
2025-02-22,Sağlık,Eczane harcaması,220
2025-02-25,Fatura,İnternet,150
2025-02-28,Market,Carrefour,310

2025-03-01,Market,A101 alışverişi,295
2025-03-02,Abonelik,Netflix,99
2025-03-03,Ulaşım,Taksi,115
2025-03-05,Fatura,Elektrik,510
2025-03-07,Kafe,Starbucks,52
2025-03-08,Seyahat,Bursa otobüs bileti,240
2025-03-09,Fatura,Doğalgaz,570
2025-03-10,Market,BIM alışverişi,230
2025-03-12,Çocuk / Oyuncak,D&R çocuk kitapları,135
2025-03-13,Sağlık,Doktor muayenesi,400
2025-03-15,Kafe,Simit Sarayı,45
2025-03-18,Ev/Hobi,Kırtasiye alışverişi,80
2025-03-20,Giyim,LC Waikiki,320
2025-03-25,Fatura,İnternet,150
2025-03-28,Market,Migros,375
2025-03-30,Ulaşım,Benzin,690

2025-04-01,Market,A101 alışverişi,315
2025-04-02,Abonelik,Netflix,99
2025-04-04,Kafe,Starbucks,60
2025-04-05,Fatura,Elektrik,490
2025-04-07,Seyahat,Antalya uçak bileti,890
2025-04-09,Giyim,Mavi jeans alışverişi,520
2025-04-10,Fatura,Su faturası,130
2025-04-11,Market,CarrefourSA,340
2025-04-13,Ev/Hobi,Bauhaus alışverişi,250
2025-04-14,Çocuk / Oyuncak,Trendyol oyuncak araba seti,220
2025-04-15,Abonelik,Spotify,39
2025-04-17,Kafe,Kahve Dünyası,85
2025-04-19,Fatura,İnternet,150
2025-04-21,Ulaşım,Benzin,740
2025-04-24,Market,Migros,395
2025-04-27,Sağlık,Eczane,180
2025-04-30,Kafe,Mado,120

https://www.kaggle.com/datasets/shyakanobledavid/personal-transactions-userid-new-transactions
